Athlete Name,Year,Team,Time,Event
"Jones, Terrence",JR-3,Texas Tech,9.91,100
"Smith, J.T",SR-4,TAMU-Commerce,9.92,100
"Maswanganyi, Shaun",JR-3,Houston,9.96,100
"Oghenebrume, Godson",SO-2,LSU,9.97,100
"Kone, Ismael",SR-4,Florida State,9.98,100
"Lindsey, Courtney",SR-4,Texas Tech,10.04,100
"McCoy, Wanya",SO-2,Clemson,10.04,100
"Akintola, Alaba",SR-4,Mid. Tenn. State,10.05,100
"Ashe, Favour",SO-2,Auburn,10.06,100
"Fleming, Da'Marcus",JR-3,LSU,10.06,100
"Washington, Connor",SO-2,Arkansas,10.06,100
"Onwuzurike, Udodi",SO-2,Stanford,10.07,100
"Trousil, Isaiah",SR-4,Northern Iowa,10.07,100
"Rose, Cameron",JR-3,Clemson,10.07,100
"Orogot, Tarsis",SO-2,Alabama,10.07,100
"Fuseini, Ibrahim",FR-1,TAMU-Commerce,10.07,100
"Willis, Amir",SR-4,Florida State,10.08,100
"Anunagba, Karlington",SR-4,North Texas,10.08,100
"Austin, PJ",SR-4,Florida,10.09,100
"Swint, Don'dre",SR-4,Texas Tech,10.09,100
"Williams, Travis",SO-2,Albany,10.09,100
"Kresley, Austin",JR-3,Iowa,10.1,100
"Smith, Victor",JR-3,Alabama State,10.1,100
"Fahmi, Azeem",FR-1,Auburn,10.11,100
"Moore, Marcellus",JR-3,Texas,10.11,100
"Walker, Kalen",JR-3,Iowa,10.11,100
"Alexander, Dominique",JR-3,Campbell,10.11,100
"Clayton, Adam",SR-4,Texas Tech,10.11,100
"Burris, Royal",JR-3,East Carolina,10.11,100
"Dunlap, David",SR-4,Northern Arizona,10.11,100
"Heath Jr., Rodney",SO-2,Louisiana Tech,10.12,100
"Warner-Savage, Sterling",SR-4,Louisville,10.12,100
"Harding, Javonte",JR-3,Tennessee,10.13,100
"Benjamin, Kion",JR-3,Minnesota,10.13,100
"Cummings, Elliott",SR-4,New Orleans,10.13,100
"Williams, Micah",JR-3,Oregon,10.13,100
"Beck, Cole",SR-4,Virginia Tech,10.14,100
"Shelvin, Nolton",SO-2,Texas,10.14,100
"Hicklin, Brandon",SR-4,LSU,10.15,100
"Lang, Lance",JR-3,Arkansas,10.15,100
"Camel, Dorian",SR-4,LSU,10.16,100
"Anthony, Jordan",FR-1,Kentucky,10.16,100
"Thomas, Myles",FR-1,Arkansas State,10.16,100
"Edwin, Delan",SR-4,TAMU-Commerce,10.16,100
"Martin, Ryan",JR-3,Texas A&M,10.17,100
"Clarke, Nylo",SR-4,Texas Tech,10.17,100
"Augustine, Devin",SO-2,Minnesota,10.18,100
"Drayden, Jalen",JR-3,Arizona State,10.18,100
"Jackson, Langston",JR-3,Kentucky,10.18,100
"Harris, Naquille",JR-3,Cincinnati,10.18,100
"Banks, Taylor",SR-4,Florida State,10.19,100
"Lightner , Kennedy",JR-3,Kentucky,10.19,100
"Crump, Cameron",SR-4,Miss State,10.19,100
"Rhetta, Jekovan",SO-2,Alabama,10.19,100
"Johnson, Lawrence",SR-4,Wisconsin,10.2,100
"Gregory, Robert",SO-2,Florida,10.2,100
"Boling, Matthew",JR-3,Georgia,10.2,100
"Laidler, Antonio",JR-3,Indiana,10.2,100
"Phillips, Dennis",JR-3,UTSA,10.2,100
"Sumler IV, Edward",SR-4,Houston,10.2,100
"Buntin, Nadale",SR-4,Rutgers,10.21,100
"Jones, Trejun",JR-3,Louisiana,10.21,100
"Bour, Josh",SO-2,Oklahoma,10.21,100
"Stewart, Brendon",SR-4,USC,10.21,100
"McCallum, T'Mars",FR-1,Tennessee,10.21,100
"Hinchliffe, Louie",FR-1,Washington St.,10.22,100
"Wulff, Simon",SO-2,Northwestern St.,10.22,100
"Moore, JaVaughn",SR-4,Indiana State,10.22,100
"Hosten, Carlon",JR-3,Minnesota,10.22,100
"Muunga, Clinton",SO-2,TCU,10.22,100
"Garland, Daniel",JR-3,Texas,10.22,100
"Rembert-Jett, Waddell",SR-4,SC State,10.22,100
"Joanus, Guinove",SR-4,Clemson,10.22,100
"Martin, JoVaughn",SR-4,Florida State,10.22,100
"Trainer, Justus",SR-4,Alabama State,10.24,100
"Cole, Kai",JR-3,Norfolk State,10.24,100
"Clarke, Matthew",SR-4,Alabama State,10.24,100
"Raines, Justin",SO-2,Tarleton State,10.24,100
"Sutton, Joshua",JR-3,Tulsa,10.24,100
"Holland, Blaize",SR-4,Sacramento St.,10.24,100
"Murray, Cameron",SR-4,NC State,10.25,100
"Ize-Iyamu Jr., PJ",FR-1,Oregon,10.25,100
"Bent, Andre",SO-2,Campbell,10.25,100
"Burns, Corin",FR-1,Incarnate Word,10.25,100
"Charles, Todd",SR-4,Mount St. Mary's,10.25,100
"Bostic, Javin",SO-2,Air Force,10.25,100
"Greenhow, Anthony",SO-2,South Carolina,10.25,100
"Miller, Cameron",SO-2,Louisville,10.25,100
"Williams, Tevijon",FR-1,Incarnate Word,10.26,100
"Stradford, DeMarkes",SR-4,Charlotte,10.26,100
"Patterson, Jacory",SR-4,Florida,10.26,100
"Jackson, Kamden",JR-3,Baylor,10.26,100
"Callahan, Ashton",SR-4,Texas State,10.26,100
"Neal, TaVieon",SO-2,Little Rock,10.26,100
"Ard, Denarrion",FR-1,Arkansas State,10.26,100
"Clark, Dajon",JR-3,Florida A&M,10.26,100
"Clifford , John",SO-2,Cal St. Fullerton,10.26,100
"Mabilo, Nicholas",FR-1,Kennesaw State,10.26,100
"Borzor, Chris",SR-4,USC,10.27,100
"Dean, Karon",JR-3,UTEP,10.27,100
"Chabot, Brice",SO-2,UTSA,10.27,100
"McCalla, Trevion",SO-2,UTSA,10.27,100
"Hodrick, Asa",SR-4,Kent State,10.27,100
"Brown, Dylan",JR-3,Houston,10.27,100
"Macklin, Nolan",FR-1,Louisville,10.27,100
