Athlete Name,Year,Team,Score,Event
"Garland, Kyle",SR-4,Georgia,8589,Decathlon
"Neugebauer , Leo",JR-3,Texas,8478,Decathlon
"Baldwin, Heath",JR-3,Michigan State,8084,Decathlon
"Steinforth, Till",SO-2,Nebraska,8064,Decathlon
"West, Austin",JR-3,Iowa,8038,Decathlon
"Turner, Jack",JR-3,UTSA,8011,Decathlon
"Soto Torrado, Yariel",JR-3,Arkansas,7911,Decathlon
"Weaver, Marcus",SO-2,Arkansas,7910,Decathlon
"Bair, Peyton",FR-1,Miss State,7903,Decathlon
"Levesque, Grant",SO-2,Rice,7903,Decathlon
"Talbot, Ryan",JR-3,Michigan State,7786,Decathlon
"Simulask, Kristo",SR-4,Oklahoma,7769,Decathlon
"Thorner, Oliver",JR-3,Washington,7761,Decathlon
"Murray, John",JR-3,Auburn,7760,Decathlon
"Kallenberg, Paul",SO-2,Louisville,7742,Decathlon
"Barton, Ben",SO-2,BYU,7734,Decathlon
"Keys, Joseph",SR-4,Texas Tech,7697,Decathlon
"Raap, Rafael",FR-1,Oregon,7695,Decathlon
"Ouimet, Aiden",JR-3,Illinois,7679,Decathlon
"Spejcher, Daniel",SR-4,Arkansas,7675,Decathlon
"Jung, Alexander",SO-2,Kansas,7671,Decathlon
"McFarlane, Joel",JR-3,UTSA,7661,Decathlon
"McMorris, Hakim",SR-4,California,7655,Decathlon
"Klein, Tayton",FR-1,Kansas,7620,Decathlon
"Vorkink, Dallin",SR-4,BYU,7615,Decathlon
"Comin Pescador, Bruno",JR-3,Washington,7611,Decathlon
"Mahacek, Mason",SR-4,Michigan,7560,Decathlon
"Schlueter, Jami",SO-2,Washington,7545,Decathlon
"Eddowes, Colby",FR-1,Arkansas State,7543,Decathlon
"Uhlin, Emil",SO-2,Kansas State,7539,Decathlon
"Wallace, Austin",SR-4,Milwaukee,7509,Decathlon
"Hall, Dominique",SO-2,Cincinnati,7498,Decathlon
"Aguilar , Andrew",JR-3,Cal St. Fullerton,7470,Decathlon
"Van Klaveren, Lucas",SR-4,UT-Arlington,7457,Decathlon
"Morton, Carter",JR-3,Northern Iowa,7454,Decathlon
"Frank, Philip",JR-3,Oklahoma State,7450,Decathlon
"Thomas, Brad",SO-2,UC Santa Barbara,7414,Decathlon
"Campre, Edgar",FR-1,Miami (Fla.),7398,Decathlon
"Hudgens, Isaiah",JR-3,Incarnate Word,7397,Decathlon
"Gardner, Cason",SR-4,George Mason,7393,Decathlon
"Amborn, Cade",JR-3,Wisconsin,7383,Decathlon
"Thompson, Thai",JR-3,Iowa State,7376,Decathlon
"Uusimaki, Leo",SO-2,Ohio State,7365,Decathlon
"Thompson, Drew",JR-3,Colorado St.,7338,Decathlon
"Vann, Nathan",SR-4,Wichita State,7332,Decathlon
"Reyneke, Sebastian",SO-2,South Alabama,7331,Decathlon
"Walburn, Lee",JR-3,Washington St.,7323,Decathlon
"Kastner, Philip",SO-2,Princeton,7320,Decathlon
"Autrey, Baynes",SR-4,Navy,7287,Decathlon
"May, Micheal",FR-1,Auburn,7280,Decathlon
"Davis, Peyton",JR-3,Tennessee,7264,Decathlon
"Shields, Alex",SR-4,Kent State,7254,Decathlon
"Kimberlin, Ty",JR-3,Samford,7233,Decathlon
"Harris, Blake",FR-1,Texas A&M,7231,Decathlon
"Thor, Simon",JR-3,Texas State,7223,Decathlon
"Baran, Patryk",SR-4,Arkansas State,7214,Decathlon
"Whitney, Caleb",SR-4,Weber State,7213,Decathlon
"Lansill, Quinn",SO-2,Wisconsin,7204,Decathlon
"Forte, Maxwell",SO-2,Duke,7186,Decathlon
"Bianco, Nick",JR-3,Colorado,7175,Decathlon
"Groenbech, Nikolaj",SO-2,Oklahoma,7167,Decathlon
"Raddatz, Nate",SO-2,St. Thomas (Minn.),7157,Decathlon
"Fox, Matthew",SO-2,Little Rock,7156,Decathlon
"Frankfather, Thatcher",FR-1,Texas A&M,7151,Decathlon
"Helms, Landon",FR-1,Texas A&M,7118,Decathlon
"Robinson, Ethan",JR-3,Virginia,7100,Decathlon
"Sieracki, Kyle",JR-3,Incarnate Word,7089,Decathlon
"Bladon, Stuart",FR-1,Boston University,7081,Decathlon
"Navajon, Adria",SO-2,Wichita State,7064,Decathlon
"Diggs, Aidan",SR-4,Grand Canyon,7058,Decathlon
"Molina, Matthew",JR-3,UC Santa Barbara,7053,Decathlon
"Shadrick, Brady",SO-2,UT-Arlington,7049,Decathlon
"Bailey, Hudson",SO-2,Wichita State,7038,Decathlon
"Holcombe, Braeden",JR-3,Air Force,6995,Decathlon
"Colleran, Troy",JR-3,Colorado,6994,Decathlon
"Fong, Corbett",SR-4,Rice,6990,Decathlon
"Nelson, Patrick",JR-3,Grand Canyon,6983,Decathlon
"Heinerikson, Kolby",JR-3,Nebraska,6980,Decathlon
"Colbert, Andrew",JR-3,Penn,6979,Decathlon
"Stakun-Pickering, Max",FR-1,North Carolina,6940,Decathlon
"Tona, Ryan",SO-2,Rhode Island,6926,Decathlon
"Terryberry, Dylan",FR-1,Michigan State,6916,Decathlon
"Werven, Simon",JR-3,Marquette,6898,Decathlon
"Minicus, John",SR-4,Harvard,6878,Decathlon
"Butcher, Zack",JR-3,Northern Iowa,6875,Decathlon
"Barber, Lewis",FR-1,Miss State,6875,Decathlon
"Scott, Elijah",SO-2,Colorado St.,6866,Decathlon
"Poff, Nathan",SR-4,Oregon,6841,Decathlon
"Kazmaier, Bryce",FR-1,North Carolina,6838,Decathlon
"Gilliam, Jeremiah",JR-3,Incarnate Word,6837,Decathlon
"Abrams, Justin",SO-2,Cincinnati,6816,Decathlon
"Christian, Ethan",JR-3,Abilene Christian,6816,Decathlon
"Donoghue, Cameron",SR-4,Gardner-Webb,6812,Decathlon
"Mills, Evan",JR-3,High Point,6799,Decathlon
"Elder, Jack",JR-3,Butler,6788,Decathlon
"Shirley, Brylan",SR-4,South Alabama,6781,Decathlon
"Omlin, Cole",FR-1,Texas Tech,6773,Decathlon
"Ostrinski, Garrett",JR-3,Fresno State,6762,Decathlon
"Katahdin, Arthur",SO-2,Oregon,6758,Decathlon
"Vetsch, Jack",SR-4,Iowa State,6752,Decathlon
